date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:58:26	884/884	---MC-	200	added ('OK')	text/javascript	date:Sun,%2023%20Oct%202022%2016:58:26%20GMT	https://www.google.com/recaptcha/api.js?render=6LcwiVwaAAAAANP6Jok7LKD8oC1EgM1Zt1p8n2BT	C:/New%20portfolio/www.google.com/recaptcha/apica31.js	(from https://www.eliseehouessenon.com/)
18:58:27	20077/20077	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202022%2016:58:27%20GMT	https://www.eliseehouessenon.com/index.php	C:/New%20portfolio/www.eliseehouessenon.com/index-2.html	(from https://www.eliseehouessenon.com/)
18:58:28	28449/28449	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Feb%202021%2006:31:56%20GMT	https://www.eliseehouessenon.com/img/logo-adeleye-w.png	C:/New%20portfolio/www.eliseehouessenon.com/img/logo-adeleye-w.png	(from https://www.eliseehouessenon.com/)
18:58:29	919857/919857	---M--	200	added ('OK')	image/jpeg	date:Sun,%2006%20Dec%202020%2005:53:42%20GMT	https://www.eliseehouessenon.com/img/IMG_20200522_121756_834_2.jpg	C:/New%20portfolio/www.eliseehouessenon.com/img/IMG_20200522_121756_834_2.jpg	(from https://www.eliseehouessenon.com/)
18:58:32	759/759	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/img/zigzag.svg	C:/New%20portfolio/www.eliseehouessenon.com/img/zigzag.svg	(from https://www.eliseehouessenon.com/)
18:58:32	23594/23594	---M--	200	added ('OK')	image/webp	date:Tue,%2006%20Apr%202021%2016:23:28%20GMT	https://www.eliseehouessenon.com/img/logo-pde.webp	C:/New%20portfolio/www.eliseehouessenon.com/img/logo-pde.webp	(from https://www.eliseehouessenon.com/)
18:58:33	14942/14942	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Apr%202021%2016:33:58%20GMT	https://www.eliseehouessenon.com/img/play.png	C:/New%20portfolio/www.eliseehouessenon.com/img/play.png	(from https://www.eliseehouessenon.com/)
18:58:34	48210/48210	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Apr%202021%2016:31:44%20GMT	https://www.eliseehouessenon.com/img/app-store-ipod-touch-apple-apple.jpg	C:/New%20portfolio/www.eliseehouessenon.com/img/app-store-ipod-touch-apple-apple.jpg	(from https://www.eliseehouessenon.com/)
18:58:34	110783/110783	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Apr%202021%2017:00:44%20GMT	https://www.eliseehouessenon.com/img/AQskill.com.png	C:/New%20portfolio/www.eliseehouessenon.com/img/AQskill.com.png	(from https://www.eliseehouessenon.com/)
18:58:35	24302/24302	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Dec%202021%2012:01:18%20GMT	https://www.eliseehouessenon.com/img/oshassociation.png	C:/New%20portfolio/www.eliseehouessenon.com/img/oshassociation.png	(from https://www.eliseehouessenon.com/)
18:58:35	331559/331559	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Jun%202021%2023:37:45%20GMT	https://www.eliseehouessenon.com/img/whichbrideisnext.png	C:/New%20portfolio/www.eliseehouessenon.com/img/whichbrideisnext.png	(from https://www.eliseehouessenon.com/)
18:58:35	41454/41454	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/img/Screenshot_2020-02-04%20Maxfem%20Int'l%20Schools.jpg	C:/New%20portfolio/www.eliseehouessenon.com/img/Screenshot_2020-02-04%20Maxfem%20Int'l%20Schools.jpg	(from https://www.eliseehouessenon.com/)
18:58:36	30540/30540	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/img/Screenshot_2020-02-04%20BSTA%20Custom%20Tailor.png	C:/New%20portfolio/www.eliseehouessenon.com/img/Screenshot_2020-02-04%20BSTA%20Custom%20Tailor.png	(from https://www.eliseehouessenon.com/)
18:58:36	49979/49979	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/img/Screenshot_2020-02-04%20Phronesis%20Foods%20.jpg	C:/New%20portfolio/www.eliseehouessenon.com/img/Screenshot_2020-02-04%20Phronesis%20Foods%20.jpg	(from https://www.eliseehouessenon.com/)
18:58:36	25470/25470	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/img/Screenshot_2020-02-04%20Home%20-%20Osho%20Ademola%20Joel.png	C:/New%20portfolio/www.eliseehouessenon.com/img/Screenshot_2020-02-04%20Home%20-%20Osho%20Ademola%20Joel.png	(from https://www.eliseehouessenon.com/)
18:58:36	2492/2492	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202022%2016:58:36%20GMT	https://www.eliseehouessenon.com/moregit.php	C:/New%20portfolio/www.eliseehouessenon.com/moregit.html	(from https://www.eliseehouessenon.com/)
18:58:38	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634ec5bc-4d7%22	https://www.eliseehouessenon.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/New%20portfolio/www.eliseehouessenon.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.eliseehouessenon.com/)
18:58:38	97163/97163	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/js/vendor/jquery-1.12.4.min.js	C:/New%20portfolio/www.eliseehouessenon.com/js/vendor/jquery-1.12.4.min.js	(from https://www.eliseehouessenon.com/)
18:58:38	1352/1352	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2024%20Feb%202021%2004:10:30%20GMT	https://www.eliseehouessenon.com/js/ajax-mail.js	C:/New%20portfolio/www.eliseehouessenon.com/js/ajax-mail.js	(from https://www.eliseehouessenon.com/)
18:58:38	1326/1326	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2006%20Apr%202021%2017:07:32%20GMT	https://www.eliseehouessenon.com/js/api.js	C:/New%20portfolio/www.eliseehouessenon.com/js/api.js	(from https://www.eliseehouessenon.com/)
18:58:39	168917/168917	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/js/plugins.js	C:/New%20portfolio/www.eliseehouessenon.com/js/plugins.js	(from https://www.eliseehouessenon.com/)
18:58:39	2965/2965	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/js/main.js	C:/New%20portfolio/www.eliseehouessenon.com/js/main.js	(from https://www.eliseehouessenon.com/)
18:58:40	120724/120724	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/fonts/ionicons790f.eot?v=2.0.1	C:/New%20portfolio/www.eliseehouessenon.com/fonts/ionicons790f790f.eot	(from https://www.eliseehouessenon.com/css/ionicons.css)
18:58:42	188508/188508	---MCZ	200	added ('OK')	font/ttf	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/fonts/ionicons790f.ttf?v=2.0.1	C:/New%20portfolio/www.eliseehouessenon.com/fonts/ionicons790f790f.ttf	(from https://www.eliseehouessenon.com/css/ionicons.css)
18:58:43	67904/67904	---M--	200	added ('OK')	font/woff	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/fonts/ionicons790f.woff?v=2.0.1	C:/New%20portfolio/www.eliseehouessenon.com/fonts/ionicons790f790f.woff	(from https://www.eliseehouessenon.com/css/ionicons.css)
18:58:44	333834/333834	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/fonts/ionicons790f.svg?v=2.0.1	C:/New%20portfolio/www.eliseehouessenon.com/fonts/ionicons790f790f.svg	(from https://www.eliseehouessenon.com/css/ionicons.css)
18:58:46	54492/54492	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/fonts/mobirise.eot	C:/New%20portfolio/www.eliseehouessenon.com/fonts/mobirise.eot	(from https://www.eliseehouessenon.com/css/mobiriseicons.css)
18:58:47	54304/54304	---MCZ	200	added ('OK')	font/ttf	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/fonts/mobirise.ttf	C:/New%20portfolio/www.eliseehouessenon.com/fonts/mobirise.ttf	(from https://www.eliseehouessenon.com/css/mobiriseicons.css)
18:58:48	54380/54380	---M--	200	added ('OK')	font/woff	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/fonts/mobirise.woff	C:/New%20portfolio/www.eliseehouessenon.com/fonts/mobirise.woff	(from https://www.eliseehouessenon.com/css/mobiriseicons.css)
18:58:49	221828/221828	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/fonts/mobirise.svg	C:/New%20portfolio/www.eliseehouessenon.com/fonts/mobirise.svg	(from https://www.eliseehouessenon.com/css/mobiriseicons.css)
18:58:50	702/702	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/css/owl.video.play.html	C:/New%20portfolio/www.eliseehouessenon.com/css/owl.video.play.html	(from https://www.eliseehouessenon.com/css/owl.carousel.min.css)
18:58:53	1569/1569	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/img/dot-light.png	C:/New%20portfolio/www.eliseehouessenon.com/img/dot-light.png	(from https://www.eliseehouessenon.com/css/main.css)
